date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:36	84390/84390	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:35%20GMT	https://www.fareobuddy.com/	./www.fareobuddy.com/index.html	(from )
13:11:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Oct%202023%2007:41:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	./www.googletagmanager.com/gtm.05445.delayed	(from https://www.fareobuddy.com/)
13:11:37	2317/2317	---M--	200	added ('OK')	image/png	etag:%224e46d432122fd91:0%22	https://www.fareobuddy.com/Content/images/fav.png	./www.fareobuddy.com/Content/images/fav.png	(from https://www.fareobuddy.com/)
13:11:39	1430/1430	---MC-	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2007:41:38%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@100;200;300;400;500;700;800&display=swap	./fonts.googleapis.com/css2f15f.css	(from https://www.fareobuddy.com/)
13:11:39	177107/177107	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2007:41:38%20GMT	https://www.fareobuddy.com/bundles/jquerybootstrapcss?v=31Fqro3sJ_xXelxt31PQnRFelMbc7-OOXx8Y-D5TOiU1	./www.fareobuddy.com/bundles/jquerybootstrapcssa019.css	(from https://www.fareobuddy.com/)
13:11:40	90289/90289	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2007:41:39%20GMT	https://www.fareobuddy.com/bundles/mobile-customcss?v=7nqkxcZJ5pIlsgjHUTl8LgMpdoG-ENmJTVCR6S2Nkb01	./www.fareobuddy.com/bundles/mobile-customcss8ab4.css	(from https://www.fareobuddy.com/)
13:11:41	114152/114152	---M-Z	200	added ('OK')	application/javascript	etag:%2256b996ca2ab2d81:0%22	https://www.fareobuddy.com/Scripts/jquery_org.js	./www.fareobuddy.com/Scripts/jquery_org.js	(from https://www.fareobuddy.com/)
13:11:43	346183/346183	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Oct%202023%2007:41:41%20GMT	https://www.fareobuddy.com/bundles/jquery?v=bbYDseakPqEhv410zV8NM-jKzcOPAY3cxxW9ECUZ8ck1	./www.fareobuddy.com/bundles/jquery81d9.html	(from https://www.fareobuddy.com/)
13:11:43	202296/202296	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Oct%202023%2007:41:43%20GMT	https://connect.facebook.net/en_US/fbevents.js	./connect.facebook.net/en_US/fbevents.js	(from https://www.fareobuddy.com/)
13:11:44	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20Oct%202023%2007:41:44%20GMT	https://www.facebook.com/tr?id=871824557003416&ev=PageView&noscript=1	./www.facebook.com/tr.8b5b3.delayed	(from https://www.fareobuddy.com/)
13:11:45	9067/9067	---M--	200	added ('OK')	image/png	etag:%22ec9fb734122fd91:0%22	https://www.fareobuddy.com/Content/images/logo.png	./www.fareobuddy.com/Content/images/logo.png	(from https://www.fareobuddy.com/)
13:11:46	84395/84395	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:46%20GMT	https://www.fareobuddy.com/hotel	./www.fareobuddy.com/hotel.html	(from https://www.fareobuddy.com/)
13:11:47	120133/120133	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:47%20GMT	https://www.fareobuddy.com/book-flights/boston-bos	./www.fareobuddy.com/book-flights/boston-bos.html	(from https://www.fareobuddy.com/)
13:11:48	120257/120257	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:48%20GMT	https://www.fareobuddy.com/book-flights/dallas-dfw	./www.fareobuddy.com/book-flights/dallas-dfw.html	(from https://www.fareobuddy.com/)
13:11:49	120368/120368	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:49%20GMT	https://www.fareobuddy.com/book-flights/los-angeles-lax	./www.fareobuddy.com/book-flights/los-angeles-lax.html	(from https://www.fareobuddy.com/)
13:11:50	120301/120301	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:50%20GMT	https://www.fareobuddy.com/book-flights/san-diego-san	./www.fareobuddy.com/book-flights/san-diego-san.html	(from https://www.fareobuddy.com/)
13:11:51	127371/127371	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:51%20GMT	https://www.fareobuddy.com/book-flights/paris-par	./www.fareobuddy.com/book-flights/paris-par.html	(from https://www.fareobuddy.com/)
13:11:52	127816/127816	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2007:41:52%20GMT	https://www.fareobuddy.com/book-flights/sydney-syd	./www.fareobuddy.com/book-flights/sydney-syd.html	(from https://www.fareobuddy.com/)
